대상_관광지,1순위,2순위,3순위,4순위,5순위,6순위,7순위,8순위,9순위,10순위,11순위,12순위,13순위,14순위,15순위,16순위,17순위,18순위,19순위,20순위,21순위,22순위,23순위,24순위,25순위,26순위,27순위,28순위,29순위,30순위,31순위,32순위,33순위,34순위,35순위,36순위,37순위,38순위,39순위,40순위,41순위,42순위,43순위,44순위,45순위,46순위,47순위,48순위,49순위,50순위,51순위,52순위,53순위,54순위,55순위,56순위,57순위,58순위,59순위,60순위,61순위,62순위,63순위,64순위,65순위,66순위,67순위,68순위,69순위,70순위,71순위,72순위
장안사,범어사(0.5371),동래읍성(0.1922),낙동강하구에코센터(0.1606),금강공원(0.1601),부산박물관(0.1582),태종대(0.1461),상해거리(0.1428),성지곡수원지(0.1132),서동미로시장(0.1062),부산치유의숲(0.0924),장산(0.0882),대저생태공원(0.0839),일광해수욕장(0.0824),누리마루(0.0816),용두산공원(0.0801),금정산성(0.0785),다대포해수욕장(0.0738),부산어촌민속관(0.0642),송정해수욕장(0.0641),강서체육공원(0.0634),구덕운동장(0.0598),황령산(0.0591),사상인디스테이션(0.0562),안데르센동화마을(0.0507),아미르공원(0.0501),보수동책방골목(0.0472),동아대석당박물관(0.0452),아홉산숲(0.0451),깡깡이예술마을(0.0387),송도해수욕장(0.0385),부네치아(0.0327),아미산전망대(0.0319),초량이바구길(0.0273),야구등대(0.0258),남항대교(0.0222),삼락생태공원(0.0180),다대포꿈의낙조분수(0.0167),국제시장(0.0157),전포카페거리(0.0088),절영해안산책로(0.0084),광안대교(0.0081),더베이101(0.0063),용호만유람선(0.0060),임랑해수욕장(0.0008),영도대교(-0.0007),부전마켓타운(-0.0027),해운대해수욕장(-0.0033),송도용궁구름다리(-0.0062),UN공원(-0.0101),회동수원지(-0.0192),광안대교sup(-0.0225),국립해양박물관(-0.0237),감천문화마을(-0.0289),흰여울문화마을(-0.0342),동래온천(-0.0399),이기대도시자연공원(-0.0409),을숙도(-0.0432),영화의전당(-0.0439),화명생태공원(-0.0455),오륙도스카이워크(-0.0462),맥도생태공원(-0.0464),구포시장(-0.0528),해운대블루라인파크(-0.0607),자갈치시장(-0.0619),구덕야영장(-0.0623),벡스코(-0.0783),호천마을(-0.0825),부산항대교(-0.0998),비프광장(-0.1051),문화빙상센터(-0.1125),송상현광장(-0.1134),부산프리미엄아울렛(-0.2218)
전포카페거리,보수동책방골목(0.2598),깡깡이예술마을(0.1912),국제시장(0.1559),동래온천(0.1213),비프광장(0.1092),금강공원(0.1073),흰여울문화마을(0.0985),동아대석당박물관(0.0961),사상인디스테이션(0.0904),부산어촌민속관(0.0880),이기대도시자연공원(0.0874),부산프리미엄아울렛(0.0805),태종대(0.0777),부전마켓타운(0.0721),송정해수욕장(0.0711),임랑해수욕장(0.0706),누리마루(0.0701),초량이바구길(0.0667),낙동강하구에코센터(0.0663),광안대교sup(0.0662),구포시장(0.0637),광안대교(0.0618),부산박물관(0.0617),화명생태공원(0.0461),호천마을(0.0449),대저생태공원(0.0435),송상현광장(0.0435),용호만유람선(0.0395),다대포꿈의낙조분수(0.0395),구덕운동장(0.0386),상해거리(0.0372),금정산성(0.0310),삼락생태공원(0.0303),해운대블루라인파크(0.0301),다대포해수욕장(0.0298),자갈치시장(0.0288),아홉산숲(0.0245),회동수원지(0.0171),영도대교(0.0148),영화의전당(0.0110),맥도생태공원(0.0099),장안사(0.0088),일광해수욕장(0.0087),아미산전망대(0.0073),부네치아(0.0043),더베이101(-0.0000),부산항대교(-0.0005),성지곡수원지(-0.0026),송도용궁구름다리(-0.0042),용두산공원(-0.0095),해운대해수욕장(-0.0174),장산(-0.0177),서동미로시장(-0.0203),부산치유의숲(-0.0279),UN공원(-0.0402),아미르공원(-0.0439),절영해안산책로(-0.0487),벡스코(-0.0557),안데르센동화마을(-0.0605),남항대교(-0.0641),범어사(-0.0649),을숙도(-0.0660),문화빙상센터(-0.0698),야구등대(-0.0772),강서체육공원(-0.0789),오륙도스카이워크(-0.0888),감천문화마을(-0.0950),송도해수욕장(-0.1051),구덕야영장(-0.1096),국립해양박물관(-0.1130),동래읍성(-0.1134),황령산(-0.1247)
절영해안산책로,흰여울문화마을(0.7178),남항대교(0.2914),감천문화마을(0.2687),태종대(0.2277),이기대도시자연공원(0.1960),야구등대(0.1611),사상인디스테이션(0.1513),송도해수욕장(0.0871),해운대블루라인파크(0.0869),누리마루(0.0840),임랑해수욕장(0.0835),낙동강하구에코센터(0.0764),대저생태공원(0.0704),구덕운동장(0.0676),안데르센동화마을(0.0601),부산박물관(0.0600),국립해양박물관(0.0583),동래읍성(0.0465),오륙도스카이워크(0.0458),더베이101(0.0399),깡깡이예술마을(0.0328),부전마켓타운(0.0307),아미르공원(0.0307),다대포꿈의낙조분수(0.0294),구포시장(0.0268),부네치아(0.0226),범어사(0.0194),금정산성(0.0180),호천마을(0.0138),장안사(0.0084),부산치유의숲(0.0065),보수동책방골목(0.0055),초량이바구길(0.0012),동래온천(-0.0076),영화의전당(-0.0093),서동미로시장(-0.0109),맥도생태공원(-0.0116),송도용궁구름다리(-0.0118),부산어촌민속관(-0.0135),일광해수욕장(-0.0172),국제시장(-0.0206),화명생태공원(-0.0225),송정해수욕장(-0.0279),광안대교(-0.0291),문화빙상센터(-0.0417),강서체육공원(-0.0437),전포카페거리(-0.0487),상해거리(-0.0506),회동수원지(-0.0595),삼락생태공원(-0.0677),동아대석당박물관(-0.0685),벡스코(-0.0701),용호만유람선(-0.0744),황령산(-0.0764),부산프리미엄아울렛(-0.0848),아홉산숲(-0.0849),용두산공원(-0.0931),해운대해수욕장(-0.0957),금강공원(-0.1002),부산항대교(-0.1091),송상현광장(-0.1121),광안대교sup(-0.1161),구덕야영장(-0.1256),영도대교(-0.1290),성지곡수원지(-0.1297),장산(-0.1402),다대포해수욕장(-0.1483),UN공원(-0.1488),비프광장(-0.1504),자갈치시장(-0.1590),을숙도(-0.1859),아미산전망대(-0.2510)
초량이바구길,호천마을(0.3249),감천문화마을(0.3070),장산(0.2280),사상인디스테이션(0.1967),흰여울문화마을(0.1760),보수동책방골목(0.1733),깡깡이예술마을(0.1639),부산박물관(0.1283),영도대교(0.1169),오륙도스카이워크(0.0897),부산항대교(0.0842),비프광장(0.0788),서동미로시장(0.0780),구덕운동장(0.0738),자갈치시장(0.0738),해운대블루라인파크(0.0695),국제시장(0.0691),상해거리(0.0684),전포카페거리(0.0667),송정해수욕장(0.0643),아홉산숲(0.0616),부네치아(0.0476),황령산(0.0417),부산치유의숲(0.0394),삼락생태공원(0.0328),대저생태공원(0.0307),장안사(0.0273),UN공원(0.0169),태종대(0.0161),아미르공원(0.0101),구포시장(0.0092),동아대석당박물관(0.0031),낙동강하구에코센터(0.0018),절영해안산책로(0.0012),금강공원(0.0007),용두산공원(0.0006),남항대교(-0.0048),누리마루(-0.0055),화명생태공원(-0.0065),아미산전망대(-0.0067),해운대해수욕장(-0.0069),성지곡수원지(-0.0070),동래읍성(-0.0107),부산어촌민속관(-0.0124),벡스코(-0.0132),국립해양박물관(-0.0139),범어사(-0.0140),문화빙상센터(-0.0169),을숙도(-0.0206),금정산성(-0.0220),맥도생태공원(-0.0254),야구등대(-0.0274),광안대교sup(-0.0282),이기대도시자연공원(-0.0291),송도용궁구름다리(-0.0356),더베이101(-0.0415),안데르센동화마을(-0.0423),광안대교(-0.0446),영화의전당(-0.0468),부전마켓타운(-0.0631),임랑해수욕장(-0.0652),부산프리미엄아울렛(-0.0655),다대포해수욕장(-0.0668),구덕야영장(-0.0799),회동수원지(-0.0892),일광해수욕장(-0.0970),다대포꿈의낙조분수(-0.0986),송상현광장(-0.1013),강서체육공원(-0.1024),동래온천(-0.1516),용호만유람선(-0.1573),송도해수욕장(-0.1619)
태종대,이기대도시자연공원(0.3095),아미르공원(0.2496),송도용궁구름다리(0.2433),용두산공원(0.2366),안데르센동화마을(0.2335),절영해안산책로(0.2277),구덕운동장(0.2019),흰여울문화마을(0.1908),야구등대(0.1874),낙동강하구에코센터(0.1810),오륙도스카이워크(0.1759),부산어촌민속관(0.1692),범어사(0.1690),더베이101(0.1669),임랑해수욕장(0.1669),아미산전망대(0.1649),해운대블루라인파크(0.1638),금강공원(0.1631),송도해수욕장(0.1566),누리마루(0.1497),장안사(0.1461),상해거리(0.1438),국제시장(0.1399),삼락생태공원(0.1258),강서체육공원(0.1256),사상인디스테이션(0.1248),대저생태공원(0.1240),UN공원(0.1207),송정해수욕장(0.1194),부산프리미엄아울렛(0.1188),문화빙상센터(0.1181),영도대교(0.1138),다대포해수욕장(0.1023),화명생태공원(0.1005),비프광장(0.0974),금정산성(0.0938),벡스코(0.0882),황령산(0.0878),맥도생태공원(0.0873),서동미로시장(0.0869),동아대석당박물관(0.0866),용호만유람선(0.0842),구덕야영장(0.0812),전포카페거리(0.0777),부산박물관(0.0746),영화의전당(0.0723),부네치아(0.0716),동래온천(0.0671),보수동책방골목(0.0669),부산치유의숲(0.0562),자갈치시장(0.0544),부전마켓타운(0.0537),남항대교(0.0492),구포시장(0.0476),국립해양박물관(0.0330),해운대해수욕장(0.0304),호천마을(0.0258),감천문화마을(0.0246),초량이바구길(0.0161),부산항대교(0.0036),일광해수욕장(0.0022),장산(-0.0015),깡깡이예술마을(-0.0068),광안대교sup(-0.0092),아홉산숲(-0.0222),광안대교(-0.0236),동래읍성(-0.0355),다대포꿈의낙조분수(-0.0622),송상현광장(-0.0719),회동수원지(-0.1070),을숙도(-0.1278),성지곡수원지(-0.1352)
해운대블루라인파크,흰여울문화마을(0.1930),태종대(0.1638),사상인디스테이션(0.1557),부산어촌민속관(0.1337),안데르센동화마을(0.1282),금강공원(0.1144),남항대교(0.1086),감천문화마을(0.1075),구덕운동장(0.1038),동아대석당박물관(0.0962),대저생태공원(0.0949),동래온천(0.0921),오륙도스카이워크(0.0908),부산치유의숲(0.0879),보수동책방골목(0.0873),절영해안산책로(0.0869),송도해수욕장(0.0802),장산(0.0793),회동수원지(0.0765),깡깡이예술마을(0.0719),초량이바구길(0.0695),광안대교(0.0678),해운대해수욕장(0.0661),문화빙상센터(0.0613),이기대도시자연공원(0.0596),범어사(0.0561),송상현광장(0.0420),아홉산숲(0.0382),서동미로시장(0.0326),전포카페거리(0.0301),부산프리미엄아울렛(0.0296),UN공원(0.0247),다대포꿈의낙조분수(0.0208),호천마을(0.0204),벡스코(0.0204),성지곡수원지(0.0167),동래읍성(0.0038),송정해수욕장(0.0032),강서체육공원(0.0011),낙동강하구에코센터(-0.0016),금정산성(-0.0064),용두산공원(-0.0098),구덕야영장(-0.0129),영화의전당(-0.0130),부산항대교(-0.0160),부산박물관(-0.0172),송도용궁구름다리(-0.0213),을숙도(-0.0228),상해거리(-0.0229),야구등대(-0.0246),누리마루(-0.0314),황령산(-0.0330),더베이101(-0.0336),광안대교sup(-0.0356),맥도생태공원(-0.0364),아미산전망대(-0.0392),화명생태공원(-0.0453),국제시장(-0.0456),비프광장(-0.0463),자갈치시장(-0.0467),다대포해수욕장(-0.0482),일광해수욕장(-0.0489),장안사(-0.0607),국립해양박물관(-0.0710),삼락생태공원(-0.0751),아미르공원(-0.0756),부네치아(-0.0868),임랑해수욕장(-0.0876),부전마켓타운(-0.0894),영도대교(-0.0902),용호만유람선(-0.0902),구포시장(-0.0973)
해운대해수욕장,송도해수욕장(0.3960),송정해수욕장(0.3670),다대포해수욕장(0.3229),더베이101(0.2001),일광해수욕장(0.1113),구덕운동장(0.0947),임랑해수욕장(0.0928),벡스코(0.0893),범어사(0.0715),누리마루(0.0710),해운대블루라인파크(0.0661),부산프리미엄아울렛(0.0632),상해거리(0.0579),아미르공원(0.0572),비프광장(0.0521),흰여울문화마을(0.0519),대저생태공원(0.0494),남항대교(0.0397),구덕야영장(0.0352),안데르센동화마을(0.0347),태종대(0.0304),부산박물관(0.0296),영화의전당(0.0252),용호만유람선(0.0237),송상현광장(0.0222),국립해양박물관(0.0162),광안대교(0.0100),동아대석당박물관(0.0012),장안사(-0.0033),송도용궁구름다리(-0.0042),구포시장(-0.0055),초량이바구길(-0.0069),아홉산숲(-0.0070),강서체육공원(-0.0080),영도대교(-0.0121),성지곡수원지(-0.0130),야구등대(-0.0141),화명생태공원(-0.0155),전포카페거리(-0.0174),국제시장(-0.0175),장산(-0.0214),문화빙상센터(-0.0230),다대포꿈의낙조분수(-0.0235),금강공원(-0.0318),깡깡이예술마을(-0.0322),아미산전망대(-0.0412),부전마켓타운(-0.0414),이기대도시자연공원(-0.0517),용두산공원(-0.0521),서동미로시장(-0.0535),보수동책방골목(-0.0567),낙동강하구에코센터(-0.0654),사상인디스테이션(-0.0667),황령산(-0.0684),부산어촌민속관(-0.0751),UN공원(-0.0769),동래온천(-0.0771),회동수원지(-0.0812),부산치유의숲(-0.0814),금정산성(-0.0948),절영해안산책로(-0.0957),동래읍성(-0.0977),오륙도스카이워크(-0.0988),광안대교sup(-0.1001),호천마을(-0.1096),감천문화마을(-0.1133),을숙도(-0.1139),자갈치시장(-0.1427),삼락생태공원(-0.1493),부네치아(-0.1860),맥도생태공원(-0.1919),부산항대교(-0.2173)
호천마을,감천문화마을(0.5975),초량이바구길(0.3249),흰여울문화마을(0.2225),오륙도스카이워크(0.1703),부산항대교(0.1580),황령산(0.1374),동래읍성(0.1263),맥도생태공원(0.1208),남항대교(0.1198),낙동강하구에코센터(0.1038),대저생태공원(0.0883),더베이101(0.0788),금강공원(0.0763),장산(0.0751),용두산공원(0.0713),송도용궁구름다리(0.0538),벡스코(0.0515),부네치아(0.0515),야구등대(0.0475),전포카페거리(0.0449),부산프리미엄아울렛(0.0418),범어사(0.0352),영화의전당(0.0344),금정산성(0.0339),태종대(0.0258),삼락생태공원(0.0250),회동수원지(0.0238),해운대블루라인파크(0.0204),자갈치시장(0.0190),문화빙상센터(0.0158),절영해안산책로(0.0138),용호만유람선(0.0137),보수동책방골목(0.0131),국립해양박물관(0.0129),비프광장(0.0121),광안대교(0.0081),아미산전망대(0.0064),성지곡수원지(-0.0043),부산어촌민속관(-0.0049),상해거리(-0.0127),아홉산숲(-0.0137),송상현광장(-0.0139),UN공원(-0.0144),다대포꿈의낙조분수(-0.0168),화명생태공원(-0.0293),구덕운동장(-0.0305),을숙도(-0.0334),강서체육공원(-0.0356),임랑해수욕장(-0.0377),동아대석당박물관(-0.0487),동래온천(-0.0514),국제시장(-0.0562),사상인디스테이션(-0.0578),구덕야영장(-0.0588),부산박물관(-0.0749),장안사(-0.0825),깡깡이예술마을(-0.0876),다대포해수욕장(-0.0963),송도해수욕장(-0.0995),부산치유의숲(-0.1003),송정해수욕장(-0.1024),해운대해수욕장(-0.1096),누리마루(-0.1103),영도대교(-0.1111),안데르센동화마을(-0.1138),이기대도시자연공원(-0.1150),아미르공원(-0.1173),일광해수욕장(-0.1250),부전마켓타운(-0.1332),광안대교sup(-0.1495),서동미로시장(-0.2019),구포시장(-0.2141)
화명생태공원,부산박물관(0.3207),대저생태공원(0.2833),삼락생태공원(0.2595),송상현광장(0.2446),깡깡이예술마을(0.1941),낙동강하구에코센터(0.1743),맥도생태공원(0.1659),회동수원지(0.1427),부네치아(0.1353),용두산공원(0.1303),부산프리미엄아울렛(0.1262),벡스코(0.1249),자갈치시장(0.1207),더베이101(0.1123),영화의전당(0.1098),영도대교(0.1088),부산어촌민속관(0.1085),아미산전망대(0.1029),태종대(0.1005),용호만유람선(0.0951),금강공원(0.0917),감천문화마을(0.0904),장산(0.0852),서동미로시장(0.0848),상해거리(0.0833),구덕운동장(0.0829),을숙도(0.0763),부산항대교(0.0719),UN공원(0.0713),국립해양박물관(0.0656),부전마켓타운(0.0613),아미르공원(0.0591),문화빙상센터(0.0590),이기대도시자연공원(0.0554),흰여울문화마을(0.0480),전포카페거리(0.0461),남항대교(0.0439),다대포꿈의낙조분수(0.0435),사상인디스테이션(0.0349),광안대교(0.0285),부산치유의숲(0.0221),아홉산숲(0.0218),강서체육공원(0.0212),오륙도스카이워크(0.0206),야구등대(-0.0017),광안대교sup(-0.0025),비프광장(-0.0051),초량이바구길(-0.0065),안데르센동화마을(-0.0080),국제시장(-0.0086),송정해수욕장(-0.0103),황령산(-0.0108),일광해수욕장(-0.0126),해운대해수욕장(-0.0155),구포시장(-0.0208),절영해안산책로(-0.0225),임랑해수욕장(-0.0233),호천마을(-0.0293),다대포해수욕장(-0.0426),해운대블루라인파크(-0.0453),장안사(-0.0455),동래온천(-0.0464),동아대석당박물관(-0.0468),송도해수욕장(-0.0488),금정산성(-0.0551),성지곡수원지(-0.0584),누리마루(-0.0778),송도용궁구름다리(-0.0803),구덕야영장(-0.0867),범어사(-0.1088),동래읍성(-0.1123),보수동책방골목(-0.1582)
황령산,장산(0.5815),금정산성(0.3135),금강공원(0.1717),동래읍성(0.1714),광안대교(0.1617),이기대도시자연공원(0.1612),아미산전망대(0.1520),호천마을(0.1374),국제시장(0.1305),낙동강하구에코센터(0.1267),안데르센동화마을(0.1135),성지곡수원지(0.1131),강서체육공원(0.0946),태종대(0.0878),송도용궁구름다리(0.0767),부산박물관(0.0765),부산어촌민속관(0.0757),구덕운동장(0.0719),더베이101(0.0601),장안사(0.0591),오륙도스카이워크(0.0569),부산항대교(0.0425),초량이바구길(0.0417),서동미로시장(0.0402),다대포해수욕장(0.0363),회동수원지(0.0320),영도대교(0.0289),용두산공원(0.0246),보수동책방골목(0.0212),아홉산숲(0.0104),부전마켓타운(0.0086),영화의전당(0.0073),흰여울문화마을(0.0044),대저생태공원(0.0044),UN공원(0.0024),감천문화마을(0.0020),비프광장(0.0003),자갈치시장(-0.0018),구포시장(-0.0033),벡스코(-0.0088),맥도생태공원(-0.0093),화명생태공원(-0.0108),남항대교(-0.0117),광안대교sup(-0.0200),부산치유의숲(-0.0231),삼락생태공원(-0.0239),해운대블루라인파크(-0.0330),국립해양박물관(-0.0331),문화빙상센터(-0.0347),을숙도(-0.0354),사상인디스테이션(-0.0356),부산프리미엄아울렛(-0.0409),야구등대(-0.0411),깡깡이예술마을(-0.0422),상해거리(-0.0461),일광해수욕장(-0.0522),구덕야영장(-0.0538),아미르공원(-0.0540),해운대해수욕장(-0.0684),범어사(-0.0762),절영해안산책로(-0.0764),다대포꿈의낙조분수(-0.0816),동아대석당박물관(-0.0853),동래온천(-0.0873),누리마루(-0.0970),임랑해수욕장(-0.0975),부네치아(-0.1120),용호만유람선(-0.1153),전포카페거리(-0.1247),송상현광장(-0.1712),송도해수욕장(-0.2240),송정해수욕장(-0.2333)
회동수원지,성지곡수원지(0.4900),장산(0.2644),화명생태공원(0.1427),아미산전망대(0.1403),을숙도(0.1064),사상인디스테이션(0.1002),감천문화마을(0.0899),일광해수욕장(0.0879),흰여울문화마을(0.0873),서동미로시장(0.0860),낙동강하구에코센터(0.0770),해운대블루라인파크(0.0765),다대포해수욕장(0.0750),동아대석당박물관(0.0738),구덕운동장(0.0669),국제시장(0.0657),보수동책방골목(0.0655),범어사(0.0536),맥도생태공원(0.0499),부네치아(0.0472),영화의전당(0.0444),황령산(0.0320),문화빙상센터(0.0297),누리마루(0.0274),부산항대교(0.0266),남항대교(0.0262),호천마을(0.0238),송도용궁구름다리(0.0226),국립해양박물관(0.0202),전포카페거리(0.0171),부산프리미엄아울렛(0.0167),깡깡이예술마을(0.0164),용두산공원(0.0122),벡스코(0.0117),안데르센동화마을(0.0075),대저생태공원(0.0039),송도해수욕장(0.0001),더베이101(-0.0013),송상현광장(-0.0045),다대포꿈의낙조분수(-0.0051),구포시장(-0.0105),자갈치시장(-0.0116),금정산성(-0.0121),부산어촌민속관(-0.0150),부전마켓타운(-0.0153),UN공원(-0.0173),동래읍성(-0.0185),장안사(-0.0192),상해거리(-0.0314),부산치유의숲(-0.0343),이기대도시자연공원(-0.0377),야구등대(-0.0413),삼락생태공원(-0.0430),아홉산숲(-0.0436),용호만유람선(-0.0508),절영해안산책로(-0.0595),동래온천(-0.0601),부산박물관(-0.0618),광안대교sup(-0.0634),영도대교(-0.0736),해운대해수욕장(-0.0812),강서체육공원(-0.0888),초량이바구길(-0.0892),광안대교(-0.1011),태종대(-0.1070),오륙도스카이워크(-0.1125),비프광장(-0.1170),구덕야영장(-0.1356),아미르공원(-0.1386),금강공원(-0.1485),송정해수욕장(-0.1856),임랑해수욕장(-0.2267)
흰여울문화마을,절영해안산책로(0.7178),감천문화마을(0.6143),남항대교(0.2360),호천마을(0.2225),부네치아(0.2083),해운대블루라인파크(0.1930),태종대(0.1908),보수동책방골목(0.1817),이기대도시자연공원(0.1798),사상인디스테이션(0.1772),초량이바구길(0.1760),송도해수욕장(0.1744),맥도생태공원(0.1705),국립해양박물관(0.1514),누리마루(0.1481),야구등대(0.1248),동래읍성(0.1176),다대포꿈의낙조분수(0.1145),구포시장(0.1089),송상현광장(0.1068),전포카페거리(0.0985),대저생태공원(0.0984),오륙도스카이워크(0.0975),부산치유의숲(0.0905),삼락생태공원(0.0882),회동수원지(0.0873),아미르공원(0.0845),동래온천(0.0835),금정산성(0.0760),비프광장(0.0757),송도용궁구름다리(0.0735),임랑해수욕장(0.0693),송정해수욕장(0.0671),깡깡이예술마을(0.0653),구덕운동장(0.0532),해운대해수욕장(0.0519),국제시장(0.0511),안데르센동화마을(0.0506),화명생태공원(0.0480),부전마켓타운(0.0413),더베이101(0.0398),범어사(0.0395),서동미로시장(0.0283),문화빙상센터(0.0271),부산프리미엄아울렛(0.0210),성지곡수원지(0.0198),낙동강하구에코센터(0.0183),광안대교(0.0091),영화의전당(0.0047),황령산(0.0044),부산박물관(0.0008),구덕야영장(-0.0123),용두산공원(-0.0184),부산어촌민속관(-0.0198),상해거리(-0.0219),아홉산숲(-0.0300),장안사(-0.0342),다대포해수욕장(-0.0344),자갈치시장(-0.0489),동아대석당박물관(-0.0656),벡스코(-0.0674),광안대교sup(-0.0765),UN공원(-0.0769),일광해수욕장(-0.0801),금강공원(-0.0868),용호만유람선(-0.0916),부산항대교(-0.0973),영도대교(-0.0973),강서체육공원(-0.0978),을숙도(-0.1009),장산(-0.1272),아미산전망대(-0.1823)
