ds,yhat,관광지명
2025-11-01,0.23728956783449945,아홉산숲
2025-12-01,0.2318565766722706,아홉산숲
2025-01-01,0.02981658626238643,부산치유의숲
2025-02-01,0.022900428881357685,부산치유의숲
2025-03-01,0.029680614087030564,부산치유의숲
2025-04-01,0.03508540541621121,부산치유의숲
2025-05-01,0.034184314326547074,부산치유의숲
2025-06-01,0.030201827404141988,부산치유의숲
2025-07-01,0.02981518522607021,부산치유의숲
2025-08-01,0.02089755672787887,부산치유의숲
2025-09-01,0.028871369881665644,부산치유의숲
2025-10-01,0.035327957248720745,부산치유의숲
2025-11-01,0.03899381508643822,부산치유의숲
2025-12-01,0.02492074222397615,부산치유의숲
2025-01-01,0.010210069955291676,금정산성
2025-02-01,0.012388932003624798,금정산성
2025-03-01,0.010213218868041937,금정산성
2025-04-01,0.011176637580240203,금정산성
2025-05-01,0.011042539236309871,금정산성
2025-06-01,0.010590159267655486,금정산성
2025-07-01,0.00973691420897104,금정산성
2025-08-01,0.009218719490570397,금정산성
2025-09-01,0.009333589272202293,금정산성
2025-10-01,0.01093051192688766,금정산성
2025-11-01,0.010395791320015156,금정산성
2025-12-01,0.010195989568635136,금정산성
2025-01-01,0.23722021377078426,범어사
2025-02-01,0.2439800671599461,범어사
2025-03-01,0.3042104536164908,범어사
2025-04-01,0.3220679121398628,범어사
2025-05-01,0.3781066091710179,범어사
2025-06-01,0.33309834271861494,범어사
2025-07-01,0.2916583625335538,범어사
2025-08-01,0.2860756811545689,범어사
2025-09-01,0.3159430606320236,범어사
2025-10-01,0.42201689058615666,범어사
2025-11-01,0.47669396736870545,범어사
2025-12-01,0.3867775128319293,범어사
2025-01-01,0.02503644307298607,회동수원지
2025-02-01,0.014135830647106357,회동수원지
2025-03-01,0.02583106787667458,회동수원지
2025-04-01,0.02794967771593435,회동수원지
2025-05-01,0.027797810780210166,회동수원지
2025-06-01,0.025741283689083547,회동수원지
2025-07-01,0.020969848789014218,회동수원지
2025-08-01,0.02516765274033638,회동수원지
2025-09-01,0.023560495287805874,회동수원지
2025-10-01,0.028746558769982174,회동수원지
2025-11-01,0.027107262955037285,회동수원지
2025-12-01,0.02347964056020137,회동수원지
2025-01-01,0.0461787046355154,서동미로시장
2025-02-01,0.05612209098438413,서동미로시장
2025-03-01,0.05295525183079204,서동미로시장
2025-04-01,0.05610470851194447,서동미로시장
2025-05-01,0.053120520774739444,서동미로시장
2025-06-01,0.052817861568283234,서동미로시장
2025-07-01,0.056687638817853325,서동미로시장
2025-08-01,0.053927611862106185,서동미로시장
2025-09-01,0.05653793226245392,서동미로시장
2025-10-01,0.058639456517648604,서동미로시장
2025-11-01,0.05668668800945592,서동미로시장
2025-12-01,0.05374952335339496,서동미로시장
2025-01-01,0.5029701560494968,부산박물관
2025-02-01,0.38691408547620715,부산박물관
2025-03-01,0.42295602437995194,부산박물관
2025-04-01,0.42958083162506083,부산박물관
2025-05-01,0.4426746688310138,부산박물관
2025-06-01,0.4587692406148935,부산박물관
2025-07-01,0.5154338077020689,부산박물관
2025-08-01,0.4353737115733768,부산박물관
2025-09-01,0.46559184599687803,부산박물관
2025-10-01,0.3699870694797804,부산박물관
2025-11-01,0.41767262636485286,부산박물관
2025-12-01,0.5172260787569963,부산박물관
2025-01-01,0.0,UN공원
2025-02-01,0.028703238261063024,UN공원
2025-03-01,0.05811259556150182,UN공원
2025-04-01,0.060674655591022544,UN공원
2025-05-01,0.051107377741260715,UN공원
2025-06-01,0.04881323389311732,UN공원
2025-07-01,0.029572019541135586,UN공원
2025-08-01,0.021120932433898877,UN공원
2025-09-01,0.04882647820314444,UN공원
2025-10-01,0.0781017021414326,UN공원
2025-11-01,0.06541250844064761,UN공원
2025-12-01,0.025003133578271327,UN공원
2025-01-01,0.6557037879912295,용호만유람선부두
2025-02-01,0.7345099620256468,용호만유람선부두
2025-03-01,0.4625320057681149,용호만유람선부두
2025-04-01,0.5752974378459923,용호만유람선부두
2025-05-01,0.5620280554980995,용호만유람선부두
2025-06-01,0.6209128484406883,용호만유람선부두
2025-07-01,0.7836944565022219,용호만유람선부두
2025-08-01,0.7415653060686702,용호만유람선부두
2025-09-01,0.7089364446994598,용호만유람선부두
2025-10-01,0.5930325483278404,용호만유람선부두
2025-11-01,0.6675413858076074,용호만유람선부두
2025-12-01,0.7650440479869217,용호만유람선부두
2025-01-01,0.12370357001701884,이기대도시자연공원
2025-02-01,0.08847228215282507,이기대도시자연공원
2025-03-01,0.17388570393132063,이기대도시자연공원
2025-04-01,0.17267408511332424,이기대도시자연공원
2025-05-01,0.15658799948695093,이기대도시자연공원
2025-06-01,0.1414827831832728,이기대도시자연공원
2025-07-01,0.11713650256676476,이기대도시자연공원
2025-08-01,0.11145765028493063,이기대도시자연공원
2025-09-01,0.13791286015661333,이기대도시자연공원
2025-10-01,0.1540796164695604,이기대도시자연공원
2025-11-01,0.14656691730039614,이기대도시자연공원
2025-12-01,0.11612552022360417,이기대도시자연공원
2025-01-01,0.3430756483317501,오륙도스카이워크
2025-02-01,0.4807211894201438,오륙도스카이워크
2025-03-01,0.4398277342315819,오륙도스카이워크
2025-04-01,0.5811297923842744,오륙도스카이워크
2025-05-01,0.5331288672186867,오륙도스카이워크
2025-06-01,0.39385960097044703,오륙도스카이워크
2025-07-01,0.4003501533610334,오륙도스카이워크
2025-08-01,0.33410428053370683,오륙도스카이워크
2025-09-01,0.4168720939276137,오륙도스카이워크
2025-10-01,0.4448627481514384,오륙도스카이워크
2025-11-01,0.44632443424553625,오륙도스카이워크
2025-12-01,0.4231471833256481,오륙도스카이워크
2025-01-01,0.5086614507655591,부산항대교
2025-02-01,0.7263558935224176,부산항대교
2025-03-01,0.6478114016334416,부산항대교
2025-04-01,0.7006647443062953,부산항대교
2025-05-01,0.6658029412675511,부산항대교
2025-06-01,0.627781567409876,부산항대교
2025-07-01,0.6334486369359306,부산항대교
2025-08-01,0.5740123167444878,부산항대교
2025-09-01,0.606141092379288,부산항대교
2025-10-01,0.6291941129654415,부산항대교
2025-11-01,0.6411966970232208,부산항대교
2025-12-01,0.6178100336693214,부산항대교
2025-01-01,0.3671861966259031,상해거리
2025-02-01,0.501460328275136,상해거리
2025-03-01,0.4417653729965596,상해거리
2025-04-01,0.44718568417680693,상해거리
2025-05-01,0.42636820869482156,상해거리
2025-06-01,0.4169017667682282,상해거리
2025-07-01,0.4496140105695954,상해거리
2025-08-01,0.40660501559039985,상해거리
2025-09-01,0.4070613523706289,상해거리
2025-10-01,0.4234402172321951,상해거리
2025-11-01,0.4386199361309319,상해거리
2025-12-01,0.418884954051933,상해거리
2025-01-01,0.16264861588249013,초량이바구길
2025-02-01,0.23951131783374255,초량이바구길
2025-03-01,0.2181906853330549,초량이바구길
2025-04-01,0.23132180561565022,초량이바구길
2025-05-01,0.22672980778014956,초량이바구길
2025-06-01,0.21695456693193585,초량이바구길
2025-07-01,0.23533573717196973,초량이바구길
2025-08-01,0.2309744392490162,초량이바구길
2025-09-01,0.2353110953962146,초량이바구길
2025-10-01,0.2456145851560299,초량이바구길
2025-11-01,0.25036306862323143,초량이바구길
2025-12-01,0.23755697846922103,초량이바구길
2025-01-01,0.06282521243136499,동래읍성
2025-02-01,0.05644989482483652,동래읍성
2025-03-01,0.05937623665623152,동래읍성
2025-04-01,0.05602823223709084,동래읍성
2025-05-01,0.05476511693039831,동래읍성
2025-06-01,0.05814734369447512,동래읍성
2025-07-01,0.058151873961886855,동래읍성
2025-08-01,0.05401494777855125,동래읍성
2025-09-01,0.05246473571417317,동래읍성
2025-10-01,0.05804107176957215,동래읍성
2025-11-01,0.05599485124406531,동래읍성
2025-12-01,0.05231286284251336,동래읍성
