관광지명,이미지유사도,리뷰 유사 관광지,리뷰유사도
맥도생태공원,삼락생태공원(0.5003),대저생태공원,0.6846938
,을숙도(0.3497),을숙도,0.6663106
,국립해양박물관(0.1959),화명생태공원,0.6539927
,흰여울문화마을(0.1705),삼락생태공원,0.64241886
,화명생태공원(0.1659),강서체육공원,0.54379696
문화빙상센터,벡스코(0.2369),사상인디스테이션,0.6390411
,국립해양박물관(0.1819),안데르센 동화마을,0.5263411
,낙동강하구에코센터(0.1413),부산어촌민속관,0.4400167
,금정산성(0.1305),낙동강하구에코센터,0.39600044
,사상인디스테이션(0.1236),석당박물관,0.39066646
범어사,장안사(0.5371),장안사,0.49544615
,금강공원(0.2240),금정산성,0.43825686
,태종대(0.1690),부산치유의숲,0.3086198
,남항대교(0.1445),아홉산숲,0.30098233
,성지곡수원지(0.1425),회동수원지,0.29995805
벡스코,부산어촌민속관(0.4756),부산박물관,0.4634598
,국립해양박물관(0.3245),사상인디스테이션,0.39259973
,문화빙상센터(0.2369),국립해양박물관,0.37087864
,영화의전당(0.2155),부산프리미엄아울렛,0.35565433
,낙동강하구에코센터(0.1768),부산어촌민속관,0.34093547
보수동책방골목,국제시장(0.2602),전포카페거리,0.41386384
,전포카페거리(0.2598),국제시장,0.398673
,사상인디스테이션(0.2049),부산박물관,0.34238297
,흰여울문화마을(0.1817),비프광장,0.33692467
,초량이바구길(0.1733),서동미로시장,0.31990552
부네치아,사상인디스테이션(0.2466),절영해안산책로,0.30105102
,흰여울문화마을(0.2083),흰여울문화마을,0.28821343
,안데르센 동화마을(0.2004),다대포해수욕장,0.27514213
,성지곡수원지(0.1409),감천문화마을,0.2407207
,화명생태공원(0.1353),깡깡이예술마을,0.23741299
부산박물관,화명생태공원(0.3207),석당박물관,0.73913443
,낙동강하구에코센터(0.2696),국립해양박물관,0.5872018
,사상인디스테이션(0.2462),부산어촌민속관,0.50096315
,부산어촌민속관(0.1972),벡스코,0.4634598
,구덕운동장(0.1775),사상인디스테이션,0.41275373
부산어촌민속관,벡스코(0.4756),국립해양박물관,0.516166
,사상인디스테이션(0.3379),부산박물관,0.50096315
,용호만유람선(0.2744),문화빙상센터,0.4400167
,동아대석당박물관(0.2198),안데르센 동화마을,0.34306645
,부산박물관(0.1972),벡스코,0.34093547
부산치유의숲,금강공원(0.2134),아홉산숲,0.7500139
,사상인디스테이션(0.2022),성지곡수원지,0.47528622
,부산어촌민속관(0.1950),구덕야영장,0.4502414
,구덕야영장(0.1869),장산,0.42640436
,안데르센 동화마을(0.1709),금강공원,0.36315137
부산프리미엄아울렛,안데르센 동화마을(0.2581),벡스코,0.35565433
,동래온천(0.2521),구포시장,0.296337
,용두산공원(0.1503),부전마켓타운,0.29629064
,대저생태공원(0.1305),전포카페거리,0.2955847
,화명생태공원(0.1262),문화빙상센터,0.29347697
부산항대교,구덕운동장(0.2033),영도대교,0.6738471
,강서체육공원(0.1950),남항대교,0.5903914
,남항대교(0.1826),광안대교,0.5353091
,동래온천(0.1593),절영해안산책로,0.4149547
,호천마을(0.1580),송도용궁구름다리,0.37780344
부전마켓타운,구포시장(0.4624),국제시장,0.6855844
,국제시장(0.3061),서동미로시장,0.6671308
,서동미로시장(0.2206),구포시장,0.6233703
,자갈치시장(0.1756),자갈치시장,0.5624892
,남항대교(0.1212),비프광장,0.50058436
비프광장,국제시장(0.2735),국제시장,0.80845726
,구포시장(0.2005),자갈치시장,0.6721523
,서동미로시장(0.1193),상해거리,0.5582044
,오륙도스카이워크(0.1168),부전마켓타운,0.50058436
,전포카페거리(0.1092),서동미로시장,0.4172072
사상인디스테이션,누리마루(0.4244),문화빙상센터,0.6390411
,부산어촌민속관(0.3379),석당박물관,0.4875313
,깡깡이예술마을(0.3133),영화의전당,0.44840696
,감천문화마을(0.2701),부산박물관,0.41275373
,부네치아(0.2466),벡스코,0.39259973
삼락생태공원,맥도생태공원(0.5003),맥도생태공원,0.64241886
,아미르공원(0.3147),대저생태공원,0.6080011
,을숙도(0.2770),화명생태공원,0.60789007
,화명생태공원(0.2595),강서체육공원,0.5254476
,대저생태공원(0.1628),을숙도,0.5158684
상해거리,태종대(0.1438),국제시장,0.5712433
,장안사(0.1428),비프광장,0.5582044
,범어사(0.1327),서동미로시장,0.51780766
,동래읍성(0.1178),부전마켓타운,0.47914797
,비프광장(0.0986),구포시장,0.42951328
서동미로시장,구포시장(0.2846),부전마켓타운,0.6671308
,부전마켓타운(0.2206),구포시장,0.62319463
,국제시장(0.1715),국제시장,0.6195596
,강서체육공원(0.1631),상해거리,0.51780766
,자갈치시장(0.1435),자갈치시장,0.45414943
성지곡수원지,회동수원지(0.4900),구덕야영장,0.49620306
,장산(0.3212),부산치유의숲,0.47528622
,안데르센 동화마을(0.1968),UN공원,0.41374826
,금강공원(0.1704),맥도생태공원,0.36079133
,구덕야영장(0.1643),을숙도,0.3190252
송도용궁구름다리,태종대(0.2433),송도해수욕장,0.5560181
,아미르공원(0.1521),남항대교,0.44944978
,이기대도시자연공원(0.1322),해운대블루라인파크,0.4026401
,오륙도스카이워크(0.1207),부산항대교,0.37780344
,낙동강하구에코센터(0.1202),오륙도,0.3523776
송도해수욕장,해운대해수욕장(0.3960),송도용궁구름다리,0.5560181
,일광해수욕장(0.3402),남항대교,0.30625722
,남항대교(0.2477),해운대해수욕장,0.20884761
,임랑해수욕장(0.2376),송정해수욕장,0.18462238
,다대포해수욕장(0.2370),임랑해수욕장,0.15874356
송상현광장,화명생태공원(0.2446),부전마켓타운,0.49205315
,아미르공원(0.1602),상해거리,0.38775706
,송도해수욕장(0.1593),비프광장,0.3778925
,용두산공원(0.1344),국제시장,0.34288043
,영화의전당(0.1299),초량이바구길,0.33899945
송정해수욕장,해운대해수욕장(0.3670),해운대해수욕장,0.60857326
,임랑해수욕장(0.3609),일광해수욕장,0.48955548
,일광해수욕장(0.2412),임랑해수욕장,0.43605283
,송도해수욕장(0.1904),해운대블루라인파크,0.3654563
,다대포해수욕장(0.1656),더베이101,0.32538798
아미르공원,삼락생태공원(0.3147),영도대교,0.33709225
,국립해양박물관(0.3018),남항대교,0.3254678
,태종대(0.2496),부산항대교,0.3033513
,강서체육공원(0.2206),을숙도,0.2573866
,UN공원(0.1833),대저생태공원,0.2473298
아미산전망대,다대포해수욕장(0.4576),다대포낙조분수,0.45894307
,낙동강하구에코센터(0.2667),다대포해수욕장,0.44424307
,장산(0.1879),부산항대교,0.33747643
,사상인디스테이션(0.1763),절영해안산책로,0.28158465
,오륙도스카이워크(0.1699),송도용궁구름다리,0.26156926
아홉산숲,대저생태공원(0.1720),부산치유의숲,0.7500139
,금강공원(0.1217),장산,0.51539236
,강서체육공원(0.1006),구덕야영장,0.40979248
,광안대교(0.0990),장안사,0.37301108
,낙동강하구에코센터(0.0983),금강공원,0.33370438
안데르센 동화마을,부산프리미엄아울렛(0.2581),문화빙상센터,0.5263411
,태종대(0.2335),부산어촌민속관,0.34306645
,국립해양박물관(0.2192),국립해양박물관,0.2977752
,낙동강하구에코센터(0.2075),부산치유의숲,0.2911523
,부네치아(0.2004),사상인디스테이션,0.28370127
야구등대,송도해수욕장(0.2200),일광해수욕장,0.47961956
,임랑해수욕장(0.1906),임랑해수욕장,0.3429501
,태종대(0.1874),이기대도시자연공원,0.30336952
,일광해수욕장(0.1767),광안대교,0.25574663
,벡스코(0.1621),남항대교,0.1986816
영도대교,금정산성(0.1568),부산항대교,0.6738471
,초량이바구길(0.1169),흰여울문화마을,0.58311254
,태종대(0.1138),절영해안산책로,0.470826
,화명생태공원(0.1088),남항대교,0.44503433
,광안리 SUPZONE(0.0859),태종대,0.42185873
영화의전당,국립해양박물관(0.3604),사상인디스테이션,0.44840696
,벡스코(0.2155),부산박물관,0.40702504
,용두산공원(0.1421),석당박물관,0.34290233
,송상현광장(0.1299),벡스코,0.32998285
,화명생태공원(0.1098),문화빙상센터,0.27869818
오륙도스카이워크,이기대도시자연공원(0.2520),화명생태공원,0.36112833
,용호만유람선(0.2292),누리마루,0.35357696
,장산(0.1857),송도용궁구름다리,0.3523776
,태종대(0.1759),이기대도시자연공원,0.32665908
,호천마을(0.1703),남항대교,0.32448086
용두산공원,태종대(0.2366),황령산,0.28570688
,UN공원(0.1525),비프광장,0.26589778
,부산프리미엄아울렛(0.1503),부산항대교,0.21100606
,영화의전당(0.1421),초량이바구길,0.19108711
,송상현광장(0.1344),UN공원,0.16574267
용호만유람선부두,부산어촌민속관(0.2744),더베이101,0.5155971
,오륙도스카이워크(0.2292),해운대블루라인파크,0.45493785
,광안대교(0.2133),광안대교,0.41646397
,자갈치시장(0.1669),광안리 SUPZONE,0.39668006
,깡깡이예술마을(0.1613),부산항대교,0.35418004
을숙도,맥도생태공원(0.3497),낙동강하구에코센터,0.8439245
,낙동강하구에코센터(0.3256),맥도생태공원,0.6663106
,삼락생태공원(0.2770),화명생태공원,0.5292689
,대저생태공원(0.1603),삼락생태공원,0.5158684
,안데르센 동화마을(0.1570),대저생태공원,0.4878531
이기대도시자연공원,태종대(0.3095),절영해안산책로,0.3369894
,오륙도스카이워크(0.2520),오륙도,0.32665908
,누리마루(0.2379),남항대교,0.31396666
,절영해안산책로(0.1960),야구등대,0.30336952
,사상인디스테이션(0.1905),다대포해수욕장,0.2971151
일광해수욕장,임랑해수욕장(0.5232),임랑해수욕장,0.5312722
,송도해수욕장(0.3402),송정해수욕장,0.48955548
,송정해수욕장(0.2412),야구등대,0.47961956
,야구등대(0.1767),해운대해수욕장,0.3895282
,낙동강하구에코센터(0.1286),전포카페거리,0.34427485
